"","utility_name","State","Data Year","Utility Number","Ownership","SAIDI_IEEE","SAIFI With MED...7","CAIDI With MED...8","SAIDI Without MED...9","SAIFI Without MED...10","CAIDI Without MED...11","SAIDI With MED Minus LOS","SAIFI With MED Minus LOS","CAIDI Minus MED","Number of Customers...15","Highest Dist. Voltage...16","Outages Recorded Automatically...17","Revenues","total_sale"
"133","City of Thomasville - (GA)","GA","2020",18848,"public","199.5","3.4","58.676470999999999","149.6","2.8","53.428570999999998","149.6","2.8","53.428570999999998","15467",".","Y",53023.9,469400
"134","City of Traverse City - (MI)","MI","2020",19125,"public","54.911999999999999","0.56999999999999995","96.336842000000004","54.911999999999999","0.56999999999999995","96.336842000000004","54.911999999999999","0.56999999999999995","96.336842000000004","12881","13.8","Y",29190,316168
"135","City of Wadsworth - (OH)","OH","2020",19951,"public","25.33","0.41599999999999998","60.889423000000001",".",".",".",".",".",".","13492","12.5","N",25103,269500
"136","City of Westerville - (OH)","OH","2020",20477,"public","123.2","1.54","80","52.45","1.0900000000000001","48.119266000000003","115.48","1.38","83.681158999999994","17462","13.2","Y",49446,467626
"137","City of Westfield - (MA)","MA","2020",20481,"public","363.27800000000002","2.4460000000000002","148.51921999999999","100.366","1.667","60.207557999999999","363.27800000000002","2.4460000000000002","148.51921999999999","18176","23","Y",50884,354594
"138","City of Wilson","NC","2020",20785,"public","73.930000000000007","1.111","66.543654000000004","53.25","0.875","60.857143000000001","73.930000000000007","1.111","66.543654000000004","37258","23","Y",115900,1181851
"139","City of Zeeland - (MI)","MI","2020",21158,"public","66.844999999999999","0.69099999999999995","96.736614000000003","37.643000000000001","0.65400000000000003","57.558104","29.202000000000002","3.6999999999999998E-2","789.24324000000001","6863","12.5","N",28601,397148
"140","City Utilities of Springfield - (MO)","MO","2020",17833,"public","128.42599999999999","0.71499999999999997","179.61678000000001",".",".",".",".",".",".","136145","13.2","Y",255412,2913253
"141","Clatskanie Peoples Util Dist","OR","2020",28541,"public","374.08300000000003","2.6520000000000001","141.05694","200.07599999999999","1.744","114.72248","267.81299999999999","2.0059999999999998","133.50597999999999","4738","13.8","N",52681.5,984467
"142","Coldwater Board of Public Util","MI","2020",3915,"public","159.09800000000001","1.0960000000000001","145.16240999999999","34.152999999999999","0.307","111.24755999999999","159.09800000000001","1.0960000000000001","145.16240999999999","7009","13.8","Y",38679,450741
"143","Columbia Power System","TN","2020",3855,"public","988.58600000000001","2.8479999999999999","347.11586999999997","875.42","2.6619999999999999","328.858",".",".",".","31769","15","Y",67263,642604
"144","Columbia River Peoples Ut Dist","OR","2020",40438,"public","95.661000000000001","0.70299999999999996","136.07539","65.918999999999997","0.57799999999999996","114.04671","95.661000000000001","0.70299999999999996","136.07539","19890","12.5","N",34512,467178
"145","Conway Corporation","AR","2020",4280,"public","68.278999999999996","0.68","100.41029","68.278999999999996","0.68","100.41029",".",".",".","31510","13.8","N",54559.4,891076
